country,year,GDP,Population,Life_Expectancy,Inflation,Unemployment,School_Enrollment,GDP_per_capita
Bangladesh,1980,18138049095.6072,88016432,52.278,,,,206.075714312155
Bangladesh,1981,20249694002.448,90303105,52.638,,,68.55957,224.241392391192
Bangladesh,1982,18525399201.5968,92814507,53.012,,,,199.595944646851
Bangladesh,1983,17609048821.5488,95335155,53.441,,,65.58304,184.70677287459
Bangladesh,1984,18920840000.0,97814966,53.826,,,64.46519,193.435020976238
Bangladesh,1985,22278423076.9231,100253825,53.937,,,62.89953,222.22018039634
Bangladesh,1986,21774033333.3333,102635572,54.592,,,62.08812,212.14899385306
Bangladesh,1987,24298032258.0645,104959291,54.899,9.87469609126633,,61.20893,231.499584520483
Bangladesh,1988,26579005558.3652,107216008,55.174,7.41276595744666,,71.93169,247.901465967332
Bangladesh,1989,28781715188.8919,109433799,55.514,6.04547975596244,,71.90344,263.005720827547
Bangladesh,1990,31598340778.2164,111633717,55.822,6.12671846981458,,74.92288,283.053737055234
Bangladesh,1991,30957483949.5798,113787109,53.781,6.35736412278234,2.2,,272.064948495878
Bangladesh,1992,31708874594.1645,115952192,56.592,3.63407691798491,2.233,,273.465072520272
Bangladesh,1993,33166519417.9894,118132360,57.073,3.01481859989799,2.31,,280.757274450366
Bangladesh,1994,33768660882.793,120343179,57.64,5.31374007936498,2.37,,280.603031791216
Bangladesh,1995,37939748768.6567,122600370,58.244,10.2978117947206,2.441,,309.458680823367
Bangladesh,1996,46438484107.5795,124862179,58.94,2.37712902953223,2.51,,371.917937677345
Bangladesh,1997,48244309133.4895,127198069,59.671,5.30560105668802,2.698,,379.284917709635
Bangladesh,1998,49984559471.3656,129622332,60.429,8.40223795613228,2.893,,385.616881752796
Bangladesh,1999,51270569883.5275,132108065,61.244,6.10669589841958,3.088,,388.095684268235
Bangladesh,2000,53369787318.6245,134544304,62.049,2.20825620937535,3.27,,396.670730249751
Bangladesh,2001,53991289844.3291,136805810,62.836,2.0071737421384,3.609,,394.65641001891
Bangladesh,2002,54724081490.5102,138933658,63.591,3.33256493271913,3.966,,393.886422327628
Bangladesh,2003,60158929188.2556,140970351,64.288,5.66870773441476,4.32,,426.74880754362
Bangladesh,2004,65108544250.0425,142902856,64.912,7.5875363850469,4.316,,455.614016909798
Bangladesh,2005,69476001239.419,144715786,65.509,7.04661816222039,4.25,93.68999,480.08585075452
Bangladesh,2006,71795736172.1561,146405973,66.048,6.76526117054757,3.591,93.43051,490.388026533289
Bangladesh,2007,79611644974.5571,147989278,66.458,9.10698496905383,4.015,,537.955492792911
Bangladesh,2008,91636997370.9772,149474264,67.047,8.90194489465154,4.49,92.56719,613.06204104124
Bangladesh,2009,102475158190.998,150873714,67.527,5.42347236174679,5.0,92.54123,679.211477428056
Bangladesh,2010,115275540051.262,152201981,68.009,8.12667639169917,3.379,90.53203,757.385280361508
Bangladesh,2011,128607482310.357,153591076,68.499,11.3951651552399,3.737,,837.336944695647
Bangladesh,2012,133310747603.483,155070101,68.989,6.21750422069284,4.07,,859.680536375497
Bangladesh,2013,149998957434.186,156532141,69.487,7.53040640913172,4.426,,958.262989798283
Bangladesh,2014,172886611653.786,157964929,70.016,6.99163889220849,4.417,,1094.46199702838
Bangladesh,2015,195146608978.131,159383179,70.543,6.19428022984984,4.397,,1224.38647668165
Bangladesh,2016,265224515675.034,160811932,71.075,5.51352572692995,4.35,,1649.28380858601
Bangladesh,2017,293732446624.596,162186147,71.606,5.70207015717239,4.372,,1811.08221668646
Bangladesh,2018,321362752441.78,163523103,72.122,5.54362139486476,4.439,,1965.24372731467
Bangladesh,2019,351231654603.692,164913055,72.625,5.59199639930629,4.504,,2129.79896954606
Bangladesh,2020,373979442362.193,166298024,71.421,5.69107474746211,5.539,,2248.85078828233
Bangladesh,2021,416271647911.014,167658854,71.103,5.54565430773473,5.457,,2482.84917843357
Bangladesh,2022,460131689083.083,169384897,74.265,7.69695437176898,4.593,,2716.48592780431
Bangladesh,2023,437415333018.291,171466990,74.672,9.8835030377921,3.352,,2551.01773827307
Bangladesh,2024,450119432068.852,173562364,74.93,10.4657482763412,3.635,,2593.41611680774
Bangladesh,2025,456319229255.578,175686899,,8.7687628116114,3.778,,2597.34352335275
China,1980,191487500000.0,981235000,64.243,,,,195.149479992051
China,1981,196218253968.254,993885000,64.778,,,,197.425510967822
China,1982,205480916030.534,1008630000,65.249,,,,203.722788366928
China,1983,231130268199.234,1023310000,65.728,,,,225.86534696156
China,1984,260442857142.857,1036825000,66.148,,,,251.192686463827
China,1985,310064625850.34,1051040000,66.532,,,,295.007445815897
China,1986,301310144927.536,1066790000,66.887,,,,282.445603096707
China,1987,273455156950.673,1084035000,67.263,7.23383553065609,,92.8452,252.256760114454
China,1988,312888888888.889,1101630000,67.607,18.8118179448753,,94.5802,284.023573149686
China,1989,348380566801.619,1118650000,67.93,18.2456383621648,,96.13547,311.429461227032
China,1990,361560229445.507,1135185000,68.155,3.05229012075233,,96.87553,318.50335359039
China,1991,384510452961.672,1150780000,68.61,3.55668565220452,2.37,96.82433,334.130288119078
China,1992,428502354788.069,1164970000,69.059,6.35398134024869,2.37,95.8694,367.822651903542
China,1993,446557291212.148,1178440000,69.492,14.6100786356602,2.69,94.73328,378.939353053314
China,1994,566929539493.172,1191835000,69.835,24.2569897243361,2.9,93.10675,475.677874448369
China,1995,738190896227.55,1204855000,70.363,16.7912268492666,3.0,91.30103,612.680277898627
China,1996,868523936530.083,1217550000,70.823,8.3131587270211,3.12,90.04399,713.337387811657
China,1997,967753570434.667,1230075000,71.227,2.78646505531882,3.23,89.34889,786.743548510999
China,1998,1037134141760.35,1241935000,71.601,-0.773186011549318,3.24,,835.095348597432
China,1999,1103843203575.64,1252735000,71.952,-1.40147268276465,3.25,,881.146614068925
China,2000,1223754919971.05,1262645000,72.288,0.347811226864587,3.26,,969.199513696287
China,2001,1355036590251.52,1271850000,72.675,0.719125609120114,3.8,,1065.40597574519
China,2002,1489821682050.54,1280400000,73.034,-0.731970902350244,4.24,,1163.55957673426
China,2003,1683903309843.85,1288400000,73.385,1.12760348729637,4.58,,1306.97245408557
China,2004,1984196551300.44,1296075000,73.727,3.82463743108159,4.49,,1530.92726215723
China,2005,2317551298052.05,1303720000,74.085,1.77641407667571,4.52,,1777.64496828464
China,2006,2791498472804.33,1311020000,74.404,1.6494309945586,4.43,,2129.25696999613
China,2007,3604055822571.63,1317885000,74.789,4.81676767378834,4.35,,2734.72709877693
China,2008,4667346414521.95,1324655000,74.833,5.92525137041092,4.59,,3523.44302065213
China,2009,5189577094997.58,1331260000,75.317,-0.728165250932898,4.72,,3898.24459158811
China,2010,6192564874453.29,1337705000,75.668,3.17532475269199,4.53,,4629.24551710077
China,2011,7671757207851.29,1345035000,75.889,5.55389892257493,4.55,,5703.76027973346
China,2012,8673664713189.24,1354190000,76.2,2.61952432645541,4.58,,6405.0574241349
China,2013,9743124247267.24,1363240000,76.452,2.62105001748115,4.6,,7147.03518622344
China,2014,10674533168257.4,1371860000,76.714,1.92164162788521,4.63,,7781.06597484974
China,2015,11280814787468.9,1379860000,76.975,1.43702380935655,4.65,,8175.33285077393
China,2016,11456024084962.0,1387790000,77.214,2.00000182191943,4.56,,8254.86859320357
China,2017,12537559062282.9,1396215000,77.235,1.59313600071436,4.47,,8979.67652709856
China,2018,14147765772963.8,1402760000,77.709,2.07479039965576,4.31,,10085.6638148819
China,2019,14560167101283.4,1407745000,77.94,2.89923416358227,4.56,,10342.9009524335
China,2020,14996414166715.1,1411100000,78.019,2.41942189457782,5.0,,10627.4637989619
China,2021,18201698719564.0,1412360000,78.117,0.981015135544882,4.55,,12887.4357242941
China,2022,18316765021690.2,1412175000,78.202,1.97357555739051,4.98,,12970.6056414327
China,2023,18270356654533.2,1410710000,77.953,0.234836828893051,4.67,,12951.1782397043
China,2024,18729668435848.0,1408975000,78.017,0.218128938439177,4.59,,13293.1162269366
China,2025,19498039388042.6,1406585000,,0.0595646916565403,4.615,,13861.970224368
India,1980,186328579302.068,687354025,53.593,11.3460734795095,,,271.080945953678
India,1981,193491368445.573,703696250,54.173,13.112546897642,,,274.964330768528
India,1982,200715624830.902,720313473,54.735,7.89074279377487,,,278.65038258267
India,1983,218262146413.158,737372681,55.283,11.8680812986734,,,295.999773299382
India,1984,212157645177.652,754875449,55.813,8.31890711860072,,,281.049867840717
India,1985,232511554840.372,772647793,56.324,5.55642423236554,,,300.928258576378
India,1986,248985994040.59,790689978,56.819,8.72972072702581,,,314.897116402542
India,1987,279033584092.223,808931270,57.291,8.80112581251833,,,344.941028293075
India,1988,296589670895.932,827342990,57.744,9.38347186185336,,,358.484539641693
India,1989,296042052944.66,846039529,58.196,7.07428002942296,,,349.915155021864
India,1990,320979026420.035,864972221,58.618,8.97123250273255,,77.12007,371.085936203765
India,1991,270105341879.226,883927600,59.032,13.8702461773683,7.641,,305.574055928592
India,1992,288208070278.013,902957070,59.445,11.7878170418134,7.649,,319.182472626315
India,1993,279295648982.529,922118387,59.823,6.32689048779867,7.662,,302.884806246174
India,1994,327274843459.429,941163767,60.237,10.2479355556119,7.593,,347.73421473994
India,1995,360281909643.489,960301044,60.63,10.2248861637545,7.57,,375.17600537305
India,1996,392896866204.516,979678458,61.027,8.97715233826453,7.537,,401.046754673579
India,1997,415867563592.829,999133762,61.439,7.16425211462721,7.574,,416.228116203753
India,1998,421351317224.941,1018665080,61.852,13.2308389767977,7.596,,413.630864056851
India,1999,458821052615.79,1038225823,62.284,4.6698203803759,7.583,,441.927991436397
India,2000,468395521654.458,1057922733,62.749,4.0094359104519,7.589,79.50755,442.750218937263
India,2001,485440139204.171,1077898575,63.158,3.77929312235637,7.611,79.37586,450.357900514128
India,2002,514939140318.756,1097600380,63.649,4.29715203929562,7.681,78.99802,469.149928973927
India,2003,607700687237.318,1116803006,64.086,3.80585899528853,7.633,83.57377,544.143133545002
India,2004,709152728830.775,1135991513,64.484,3.76725173477517,7.598,,624.258826510066
India,2005,820383763511.445,1154676322,64.939,4.24634362031924,7.551,,710.488080408949
India,2006,940259888787.721,1172878890,65.373,5.79652337561634,7.553,,801.668353659022
India,2007,1216736438834.96,1190676021,65.803,6.37288135593231,7.562,91.12498,1021.88707706826
India,2008,1198895139005.92,1207930964,66.247,8.34926704907575,7.629,90.8729,992.519584923828
India,2009,1341888016994.9,1225524753,66.7,10.8823529411764,7.636,90.65366,1094.94974598436
India,2010,1675615519484.96,1243481564,67.162,11.9893899204245,7.631,90.95531,1347.51939071367
India,2011,1823051829894.55,1261224954,67.623,8.9117933648336,7.609,90.37191,1445.46127486037
India,2012,1827637590410.41,1278674502,68.076,9.47899691419793,7.645,91.57155,1429.32199520032
India,2013,1856721507621.58,1295829511,68.499,10.0178784746104,7.678,92.25734,1432.84397512195
India,2014,2039126479154.52,1312277191,68.932,6.66565671867899,7.656,,1553.88396075118
India,2015,2103588360044.94,1328024498,69.326,4.90697344127249,7.629,,1583.99815907985
India,2016,2294796885663.16,1343944296,69.709,4.94821634062134,7.611,,1707.50892912243
India,2017,2651474262755.45,1359657400,70.068,3.32817337461305,7.626,,1950.10468280866
India,2018,2702929641648.74,1374659064,70.415,3.93882646691643,7.652,,1966.25455171679
India,2019,2835606256558.19,1389030312,70.746,3.72950573539123,6.51,,2041.42863698585
India,2020,2674851578587.27,1402617695,70.156,6.6234367762853,7.859,,1907.04251637669
India,2021,3167270623260.47,1414203896,67.282,5.13140747176364,6.38,,2239.61384367482
India,2022,3249938492013.47,1425423212,71.698,6.69903414079858,4.822,,2279.98145719369
India,2023,3500906030644.76,1438069596,72.003,5.64914318907925,4.172,,2434.44826340989
India,2024,3760813470500.86,1450935791,72.235,4.95303550973661,4.173,,2591.9916607122
India,2025,3956067115771.63,1463865525,,2.39884954182294,4.219,,2702.47987141553
Indonesia,1980,72482337397.4439,148950540,58.701,18.035422125313,,,486.620172021155
Indonesia,1981,85518233419.0479,152485035,59.096,12.2659075874853,,90.12354,560.830336032961
Indonesia,1982,90158449294.9921,156052152,59.7,9.44542534921144,,96.03236,577.745632722784
Indonesia,1983,81052283383.7155,159651381,60.343,11.7997382076652,,97.42245,507.682945653414
Indonesia,1984,84853700027.651,163251124,60.891,10.4550392231412,,97.70897,519.774063103241
Indonesia,1985,85289488375.4435,166776185,61.387,4.72453518543398,,97.82536,511.400883618027
Indonesia,1986,79954072544.5279,170175065,61.736,5.82266576732484,,97.21808,469.834241253429
Indonesia,1987,75929617557.7521,173511154,62.087,9.27865406602839,,98.05198,437.60655039936
Indonesia,1988,84300174485.7973,176855065,62.386,8.04535671530907,,97.76875,476.662483405818
Indonesia,1989,94451427876.6628,180201630,62.883,6.41554079916364,,97.87723,524.143027322576
Indonesia,1990,106140727333.636,183501098,63.249,7.81919756505635,,96.23255,578.420121135382
Indonesia,1991,116621996217.133,186778238,63.703,9.41906784347004,2.617,95.32152,624.387495384411
Indonesia,1992,128026966579.964,190043744,64.182,7.52351006242677,2.734,94.45806,673.67103954742
Indonesia,1993,158006700301.533,193305168,64.851,9.6719108926401,2.782,93.25455,817.395116417856
Indonesia,1994,176892143931.505,196591828,65.041,8.53199829189143,4.366,93.78734,899.793982949817
Indonesia,1995,202132028723.115,199888057,65.263,9.42030300572996,4.611,93.61081,1011.22614205568
Indonesia,1996,227369679374.973,203204348,65.465,7.97328096513346,4.861,92.51603,1118.92133024129
Indonesia,1997,215748998609.635,206536095,65.774,6.22615154887214,4.684,92.46189,1044.60674832472
Indonesia,1998,95445547872.715,209826788,65.942,58.4510413515526,5.459,,454.877800792123
Indonesia,1999,140001351215.462,213004668,66.001,20.4778324428892,6.358,,657.268934667018
Indonesia,2000,165021012077.81,216077790,66.292,3.68862037056682,6.077,,763.711124950924
Indonesia,2001,160446947784.909,219097902,66.583,11.5001160550887,6.082,91.94318,732.307093405708
Indonesia,2002,195660611165.183,222088495,66.954,11.9001200338414,6.604,91.32723,881.002913569131
Indonesia,2003,234772463823.808,225048008,67.134,6.75731256333564,6.657,90.64128,1043.2105838671
Indonesia,2004,256836875295.452,227926649,65.521,6.06406189133648,7.303,89.73712,1126.84004447173
Indonesia,2005,285868619196.085,230871650,67.531,10.4532001873347,7.945,88.93075,1238.21447629488
Indonesia,2006,364570515618.357,233951652,67.664,13.108670985346,7.551,91.79173,1558.31562847163
Indonesia,2007,432216737774.861,237062337,67.914,6.40656087966005,8.06,93.81578,1823.21976255073
Indonesia,2008,510228634992.258,240157903,68.085,10.2266663272483,7.208,93.13418,2124.55483920618
Indonesia,2009,539580085612.401,243220028,68.267,4.38641311792074,6.106,93.76106,2218.48541852977
Indonesia,2010,755094157621.936,246305322,68.364,5.13420639015885,5.614,94.22952,3065.68348377765
Indonesia,2011,892969104563.171,249470032,68.629,5.35604849112582,5.153,93.73808,3579.46442466152
Indonesia,2012,917869913332.649,252698525,68.862,4.2795142691943,4.468,92.85318,3632.27254030331
Indonesia,2013,912524136718.018,255852467,69.064,6.41249457900391,4.336,90.5756,3566.60284506078
Indonesia,2014,890814755533.537,258877399,69.292,6.39492882396559,4.049,90.00059,3441.06808464008
Indonesia,2015,860854232686.214,261799249,69.52,6.36312061196646,4.514,,3288.22269725538
Indonesia,2016,931877364037.698,264627418,69.733,3.52580452815451,4.301,92.77266,3521.46943457574
Indonesia,2017,1015618744159.73,267346658,69.953,3.80879857691949,3.783,94.09782,3798.88326174526
Indonesia,2018,1042271532988.63,269951846,70.08,3.19834755924996,4.387,93.4963,3860.95353090726
Indonesia,2019,1119099871350.2,272489381,70.349,3.03058460941661,3.59,,4106.94856160358
Indonesia,2020,1059054842698.48,274814866,68.817,1.91983527270793,4.255,,3853.70288774146
Indonesia,2021,1186509691086.73,276758053,67.452,1.56007882983334,3.827,,4287.17313995098
Indonesia,2022,1319101183380.15,278830529,70.925,4.20946463714784,3.462,,4730.83484836107
Indonesia,2023,1371166925749.88,281190067,71.146,3.66938654859761,3.308,,4876.2992959843
Indonesia,2024,1396301788461.69,283487931,71.288,2.18151273615189,3.301,,4925.43644992666
Indonesia,2025,1445642584163.81,285721236,,1.9133344329508,3.237,,5059.62596411213
"Iran, Islamic Rep.",1980,94362275580.0229,39842324,58.369,20.6439144373798,,,2368.39285730478
"Iran, Islamic Rep.",1981,100499312749.923,41989312,56.625,24.2035897624486,,,2393.44985576145
"Iran, Islamic Rep.",1982,125948756439.485,44272141,57.633,18.6897259269564,,,2844.87611384065
